tour,year,type,rank,rider,nationality,team
Tirreno-Adriatico,2022,stage_6,6,Jai Hindley,AUS,Bora–Hansgrohe
Tirreno-Adriatico,2022,stage_6,7,Thibaut Pinot,FRA,Groupama–FDJ
Tirreno-Adriatico,2022,stage_6,8,Giulio Ciccone,ITA,Trek–Segafredo
Tirreno-Adriatico,2022,stage_6,9,Pello Bilbao,ESP,Team Bahrain Victorious
Tirreno-Adriatico,2022,stage_6,10,Thymen Arensman,NED,Team DSM
Tirreno-Adriatico,2022,stage_7,1,Phil Bauhaus,GER,Team Bahrain Victorious
Tirreno-Adriatico,2022,stage_7,2,Giacomo Nizzolo,ITA,Israel–Premier Tech
Tirreno-Adriatico,2022,stage_7,3,Kaden Groves,AUS,Team BikeExchange–Jayco
Tirreno-Adriatico,2022,stage_7,4,Davide Cimolai,ITA,Cofidis
Tirreno-Adriatico,2022,stage_7,5,Alberto Dainese,ITA,Team DSM
Tirreno-Adriatico,2022,stage_7,6,Alexander Kristoff,NOR,Intermarché–Wanty–Gobert Matériaux
Tirreno-Adriatico,2022,stage_7,7,Edvald Boasson Hagen,NOR,Team TotalEnergies
Tirreno-Adriatico,2022,stage_7,8,Olav Kooij,NED,Team Jumbo–Visma
Tirreno-Adriatico,2022,stage_7,9,Arnaud Démare,FRA,Groupama–FDJ
Tirreno-Adriatico,2022,stage_7,10,Matteo Moschetti,ITA,Trek–Segafredo
Tirreno-Adriatico,2023,stage_1,1,Filippo Ganna,ITA,Ineos Grenadiers
Tirreno-Adriatico,2023,stage_1,2,Lennard Kämna,GER,Bora–Hansgrohe
Tirreno-Adriatico,2023,stage_1,3,Magnus Sheffield,USA,Ineos Grenadiers
Tirreno-Adriatico,2023,stage_1,4,Michael Hepburn,AUS,Team Jayco–AlUla
Tirreno-Adriatico,2023,stage_1,5,Brandon McNulty,USA,UAE Team Emirates
Tirreno-Adriatico,2023,stage_1,6,Thymen Arensman,NED,Ineos Grenadiers
Tirreno-Adriatico,2023,stage_1,7,João Almeida,POR,UAE Team Emirates
Tirreno-Adriatico,2023,stage_1,8,Andreas Leknessund,NOR,Team DSM
Tirreno-Adriatico,2023,stage_1,9,Casper Pedersen,DEN,Soudal–Quick-Step
Tirreno-Adriatico,2023,stage_1,10,Wilco Kelderman,NED,Team Jumbo–Visma
Tirreno-Adriatico,2023,stage_2,1,Fabio Jakobsen,NED,Soudal–Quick-Step
Tirreno-Adriatico,2023,stage_2,2,Jasper Philipsen,BEL,Alpecin–Deceuninck
Tirreno-Adriatico,2023,stage_2,3,Fernando Gaviria,COL,Movistar Team
Tirreno-Adriatico,2023,stage_2,4,Biniam Girmay,ERI,Intermarché–Circus–Wanty
Tirreno-Adriatico,2023,stage_2,5,Juan Sebastián Molano,COL,UAE Team Emirates
Tirreno-Adriatico,2023,stage_2,6,Phil Bauhaus,GER,Team Bahrain Victorious
Tirreno-Adriatico,2023,stage_2,7,Dylan Groenewegen,NED,Team Jayco–AlUla
Tirreno-Adriatico,2023,stage_2,8,Simone Consonni,ITA,Cofidis
Tirreno-Adriatico,2023,stage_2,9,Jordi Meeus,BEL,Bora–Hansgrohe
Tirreno-Adriatico,2023,stage_2,10,Nacer Bouhanni,FRA,Arkéa–Samsic
Tirreno-Adriatico,2023,stage_3,1,Jasper Philipsen,BEL,Alpecin–Deceuninck
Tirreno-Adriatico,2023,stage_3,2,Phil Bauhaus,GER,Team Bahrain Victorious
Tirreno-Adriatico,2023,stage_3,3,Biniam Girmay,ERI,Intermarché–Circus–Wanty
Tirreno-Adriatico,2023,stage_3,4,Matteo Moschetti,ITA,Q36.5 Pro Cycling Team
Tirreno-Adriatico,2023,stage_3,5,Simone Consonni,ITA,Cofidis
Tirreno-Adriatico,2023,stage_3,6,Wout van Aert,BEL,Team Jumbo–Visma
Tirreno-Adriatico,2023,stage_3,7,Edward Theuns,BEL,Trek–Segafredo
Tirreno-Adriatico,2023,stage_3,8,Dylan Groenewegen,NED,Team Jayco–AlUla
Tirreno-Adriatico,2023,stage_3,9,Fabio Jakobsen,NED,Soudal–Quick-Step
Tirreno-Adriatico,2023,stage_3,10,Jordi Meeus,BEL,Bora–Hansgrohe
Tirreno-Adriatico,2023,stage_4,1,Primož Roglič,SLO,Team Jumbo–Visma
Tirreno-Adriatico,2023,stage_4,2,Julian Alaphilippe,FRA,Soudal–Quick-Step
Tirreno-Adriatico,2023,stage_4,3,Adam Yates,GBR,UAE Team Emirates
Tirreno-Adriatico,2023,stage_4,4,Wilco Kelderman,NED,Team Jumbo–Visma
Tirreno-Adriatico,2023,stage_4,5,Tao Geoghegan Hart,GBR,Ineos Grenadiers
Tirreno-Adriatico,2023,stage_4,6,Enric Mas,ESP,Movistar Team
Tirreno-Adriatico,2023,stage_4,7,Victor Lafay,FRA,Cofidis
Tirreno-Adriatico,2023,stage_4,8,João Almeida,POR,UAE Team Emirates
Tirreno-Adriatico,2023,stage_4,10,Hugh Carthy,GBR,EF Education–EasyPost
Tirreno-Adriatico,2023,stage_5,1,Primož Roglič,SLO,Team Jumbo–Visma
Tirreno-Adriatico,2023,stage_5,2,Giulio Ciccone,ITA,Trek–Segafredo
Tirreno-Adriatico,2023,stage_5,3,Tao Geoghegan Hart,GBR,Ineos Grenadiers
Tirreno-Adriatico,2023,stage_5,4,Jai Hindley,AUS,Bora–Hansgrohe
Tirreno-Adriatico,2023,stage_5,5,Lennard Kämna,GER,Bora–Hansgrohe
Tirreno-Adriatico,2023,stage_5,7,Mikel Landa,ESP,Team Bahrain Victorious
Tirreno-Adriatico,2023,stage_5,8,João Almeida,POR,UAE Team Emirates
Tirreno-Adriatico,2023,stage_5,9,Damiano Caruso,ITA,Team Bahrain Victorious
Tirreno-Adriatico,2023,stage_5,10,Brandon McNulty,USA,UAE Team Emirates
Tirreno-Adriatico,2023,stage_6,1,Primož Roglič,SLO,Team Jumbo–Visma
